yyyyddd,Central_Arctic
2018128,3175683.98
2018129,3173155.23
2018130,3171554.01
2018131,3173342.36
2018132,3166616.05
2018133,3165735.88
2018134,3153379.6
2018135,3166975.57
2018136,3168187.52
2018137,3166065.15
2018138,3144052.42
2018139,3137442.49
2018140,3133730.67
2018141,3131812.62
2018142,3137005.79
2018143,3143041.56
2018144,3152321.09
2018145,3160386.62
2018146,3149701.6
2018147,3151606.22
2018148,3154126.4
2018149,3153958.19
2018150,3150917.2
2018151,3151471.12
2018152,3149273.27
2018153,3133586.58
2018154,3128044.02
2018155,3126537.17
2018156,3120739.96
2018157,3118390.14
2018158,3118402.6
2018159,3113538.27
2018160,3133519.05
2018161,3147441.3
2018162,3146820.78
2018163,3157993.54
2018164,3164583.89
2018165,3165083.41
2018166,3154058.39
2018167,3132561.7
2018168,3115689
2018169,3109168.87
2018170,3091381.04
2018171,3085032.43
2018172,3081038.1
2018173,3070119.64
2018174,3071640.25
2018175,3076752.88
2018176,3063091.04
2018177,3048951.6
2018178,3040558.02
2018179,3046494.17
2018180,3049214.81
2018181,3056937.63
2018182,3064913.66
2018183,3085766.92
2018184,3100744.9
2018185,3103484.37
2018186,3106869.16
2018187,3117356.05
2018188,3127089.95
2018189,3109629.5
2018190,3094386.48
2018191,3070974.5
2018192,3063595.35
2018193,3051279.47
2018194,3053645.56
2018195,3060398.62
2018196,3070151.05
2018197,3074057.93
2018198,3061472.84
2018199,3063979.63
2018200,3077840.31
2018201,3074340.59
2018202,3071819.55
2018203,3068350.25
2018204,3074343.99
2018205,3072796.5
2018206,3056076.99
2018207,3047528.35
2018208,3047469.02
2018209,3033733.12
2018210,3028622.99
2018211,3038914.13
2018212,3055342.12
2018213,3053884.46
2018214,3044032.5
2018215,3015426.38
2018216,3002767.03
2018217,2994352.59
2018218,2997653.72
2018219,2990927.01
2018220,2962970.53
2018221,2929275.28
2018222,2908167.63
2018223,2902844.91
2018224,2895460.38
2018225,2886305
2018226,2876410.57
2018227,2872941.38
2018228,2886052.21
2018229,2887965.41
2018230,2877251.49
2018231,2864391.73
2018232,2851976.77
2018233,2826913.94
2018234,2810956.04
2018235,2796001.42
2018236,2805852.38
2018237,2816274.61
2018238,2821395.83
2018239,2825218.43
2018240,2830226.38
2018241,2837978.22
2018242,2808145.94
2018243,2802356.73
2018244,2811390.35
2018245,2822245.9
2018246,2837227.61
2018247,2821160.45
2018248,2839621.05
2018249,2869128.23
2018250,2860956.24
2018251,2849851.55
2018252,2848686.37
2018253,2875745.98
2018254,2866279.64
2018255,2899705.43
2018256,2895216.54
2018257,2902981.26
2018258,2918697.26
2018259,2924620.99
2018260,2905193.9
2018261,2900230.43
2018262,2909912.43
2018263,2898930.42
2018264,2883886.1
2018265,2915161.81
2018266,2927472.1
2018267,2909394.04
2018268,2895474.03
2018269,2874324.18
2018270,2859321.13
2018271,2822680.8
2018272,2823907.23
2018273,2851587.32
2018274,2839510.64
2018275,2832085.6
